Sample Number,Time (s),D0,D1,D2,D3,D4,D5,,
1,-0.999999998,1,0,0,0,0,0,,
2,-0.998999998,1,0,0,0,0,0,,
3,-0.997999998,1,0,0,0,0,0,,
4,-0.996999998,1,1,0,0,0,0,,
5,-0.995999998,1,1,0,0,0,0,,
6,-0.994999998,1,1,0,0,0,0,,
7,-0.993999998,1,1,0,0,0,0,,
8,-0.992999998,1,1,0,0,0,0,,
9,-0.991999998,1,1,0,0,0,0,,
10,-0.990999998,1,1,0,0,0,0,,
11,-0.989999998,1,1,0,0,0,0,,
12,-0.988999998,0,1,0,0,0,0,,
13,-0.987999998,0,1,0,0,0,0,,
14,-0.986999998,0,1,0,0,0,0,,
15,-0.985999998,0,0,0,0,0,0,,
16,-0.984999998,0,0,0,0,0,0,,
17,-0.983999998,0,0,0,0,0,0,,
18,-0.982999998,0,0,0,0,0,0,,
19,-0.981999998,0,0,0,0,0,0,,
20,-0.980999998,0,0,0,0,0,0,,
21,-0.979999998,0,0,0,0,0,0,,
22,-0.978999998,0,0,0,0,0,0,,
23,-0.977999998,0,0,0,1,0,0,,
24,-0.976999998,0,0,0,1,0,0,,
25,-0.975999998,0,0,0,1,0,1,,
26,-0.974999998,0,0,0,0,0,1,,
27,-0.973999998,0,0,0,0,0,1,,
28,-0.972999998,0,0,1,0,0,1,,
29,-0.971999998,0,0,1,0,0,1,,
30,-0.970999998,0,0,1,0,1,1,,
31,-0.969999998,0,0,1,0,1,1,,
32,-0.968999998,0,0,0,0,1,0,,
33,-0.967999998,0,0,0,0,0,0,,
34,-0.966999998,0,0,0,0,0,0,,
35,-0.965999998,0,0,0,0,0,0,,
36,-0.964999998,0,0,0,0,0,0,,
37,-0.963999998,0,0,0,0,0,0,,
38,-0.962999998,0,0,0,0,0,0,,
39,-0.961999998,0,0,0,0,0,0,,
40,-0.960999998,0,0,0,0,0,0,,
41,-0.959999998,0,0,0,0,0,0,,
42,-0.958999998,0,0,0,0,0,0,,
43,-0.957999998,0,0,0,0,0,0,,
44,-0.956999998,0,0,0,0,0,0,,
45,-0.955999998,0,0,0,0,0,0,,
46,-0.954999998,0,0,0,0,0,0,,
